id;mahalle_kod;kod;ad;sokak_turu;sokak_turu_aciklama;gelisim_durumu_aciklama;gelisim_durumu_kodu;sabit_tanitim_numarasi
1231992;701706;520716;SUSUZOSMANİYE;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1231993;701987;970675;BATI BLOK GEYİKLİ TOKİ;4;SOKAK;ORTA GELISMIS;2;1.01
1231994;701987;106785140;GEYİKLİ5;4;SOKAK;ORTA GELISMIS;2;25.0
1231995;701987;171094891;GEYİKLİ101;4;SOKAK;ORTA GELISMIS;2;28.0
1231996;701987;259173780;YENİ;3;CADDE;ORTA GELISMIS;2;15.01
1231997;701987;275139850;GEYİKLİ10;4;SOKAK;ORTA GELISMIS;2;31.0
1231998;701987;429484971;GEYİKLİ7;4;SOKAK;ORTA GELISMIS;2;37.0
1231999;701987;485578051;GEYİKLİ8;4;SOKAK;ORTA GELISMIS;2;41.0
1232000;701987;486370451;12020;4;SOKAK;ORTA GELISMIS;2;70.0
1232001;701987;492362500;ŞEHİR YOLU;3;CADDE;ORTA GELISMIS;2;65.01
1232002;701987;516452080;GEYİKLİ9;4;SOKAK;ORTA GELISMIS;2;42.0
1232003;701987;561791381;GEYİKLİ4;4;SOKAK;ORTA GELISMIS;2;43.0
1232004;701987;572224320;GEYİKLİ12;4;SOKAK;ORTA GELISMIS;2;44.0
1232005;701987;574057710;GEYİKLİ1;4;SOKAK;ORTA GELISMIS;2;45.0
1232006;701987;585047701;GEYİKLİ14;4;SOKAK;ORTA GELISMIS;2;46.0
1232007;701987;620089170;GEYİKLİ15;4;SOKAK;ORTA GELISMIS;2;47.0
1232008;701987;639410821;GEYİKLİ18;4;SOKAK;ORTA GELISMIS;2;49.0
1232009;701987;639452811;GEYİKLİ11;4;SOKAK;ORTA GELISMIS;2;50.0
1232010;701987;700972661;12014;4;SOKAK;ORTA GELISMIS;2;52.0
1232011;701987;710008220;GEYİKLİ17;4;SOKAK;ORTA GELISMIS;2;53.0
1232012;701987;721181690;12021;4;SOKAK;ORTA GELISMIS;2;30.01
1232013;701987;752262660;GEYİKLİ6;4;SOKAK;ORTA GELISMIS;2;56.0
1232014;701987;758985441;12004;4;SOKAK;ORTA GELISMIS;2;57.0
1232015;701987;767285420;ÇADIRTEPE;5;KÜME EVLER;ORTA GELISMIS;2;58.0
1232016;701987;845028890;12009;4;SOKAK;ORTA GELISMIS;2;62.0
1232017;701987;887433150;GEYİKLİ3;4;SOKAK;ORTA GELISMIS;2;63.0
1232018;701987;909946410;GEYİKLİ13;4;SOKAK;ORTA GELISMIS;2;64.0
1232019;701995;764322;NASUHLAR MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1232020;701995;767046;YENİ VADİ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;147.56
1232021;701995;370716021;TASLAKLAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;100.5
1232022;702175;205026390;ÇAMLITEPE;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1232023;702670;912778;FİDAN;4;SOKAK;ORTA GELISMIS;2;19.0
1232024;702670;912779;PINAR;4;SOKAK;ORTA GELISMIS;2;18.0
1232025;702670;912780;ÇİMEN;4;SOKAK;ORTA GELISMIS;2;23.0
1232026;702670;912783;ÇİÇEK;4;SOKAK;ORTA GELISMIS;2;24.0
1232027;702670;172443851;BAHÇE;4;SOKAK;ORTA GELISMIS;2;17.0
1232028;702670;215065480;İSTİKLAL2;4;SOKAK;ORTA GELISMIS;2;50.0
1232029;702670;290723030;İSTİKLAL4;4;SOKAK;ORTA GELISMIS;2;52.0
1232030;702670;501530140;212;4;SOKAK;ORTA GELISMIS;2;12.0
1232031;702670;637361360;İSTİKLAL;3;CADDE;ORTA GELISMIS;2;9.0
1232032;702670;644146261;İSTİKLAL1;4;SOKAK;ORTA GELISMIS;2;55.0
1232033;702670;721612501;VATAN2;4;SOKAK;ORTA GELISMIS;2;53.0
1232034;702670;788405840;İSTİKLAL3;4;SOKAK;ORTA GELISMIS;2;51.0
1232035;702670;819258440;203;4;SOKAK;ORTA GELISMIS;2;3.0
1232036;702670;859156680;KARANFİL;4;SOKAK;ORTA GELISMIS;2;15.0
1232037;702670;870610650;VATAN1;4;SOKAK;ORTA GELISMIS;2;31.0
1232038;702670;906859670;VATAN;3;CADDE;ORTA GELISMIS;2;25.0
1232039;703025;421646080;DUTLUPINAR;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1232040;704171;441115;NEBİHOCA MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;9040.61
1232041;704171;475862;GÖKÇELER MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;2700.01
1232042;704171;478876;KALEMCİOĞLU MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;4501.0
1232043;706051;754739;ÇALYER HATIPLAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1232044;706051;756989;TASLAKLAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;6020.61
1232045;706051;31300544;KANLAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1232046;706887;613620;KARAPINAR;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1232047;707547;220626081;21;3;CADDE;ORTA GELISMIS;2;21.0
1232048;707547;241718601;24;4;SOKAK;ORTA GELISMIS;2;24.0
1232049;707547;242506071;7;3;CADDE;ORTA GELISMIS;2;7.0
1232050;707547;254379711;31;4;SOKAK;ORTA GELISMIS;2;31.0
1232051;707547;257854111;33;4;SOKAK;ORTA GELISMIS;2;33.0
1232052;707547;275414991;26;3;CADDE;ORTA GELISMIS;2;26.0
1232053;707547;276254411;27;3;CADDE;ORTA GELISMIS;2;27.0
1232054;707547;276741421;12;3;CADDE;ORTA GELISMIS;2;12.0
1232055;707547;294962391;11;3;CADDE;ORTA GELISMIS;2;11.0
1232056;707547;295508031;25;4;SOKAK;ORTA GELISMIS;2;25.0
1232057;707547;315820671;23;3;CADDE;ORTA GELISMIS;2;23.0
1232058;707547;401008441;22;3;CADDE;ORTA GELISMIS;2;22.0
1232059;707547;407721131;20;3;CADDE;ORTA GELISMIS;2;20.0
1232060;707547;458798551;30;4;SOKAK;ORTA GELISMIS;2;30.0
1232061;707547;497047031;32;4;SOKAK;ORTA GELISMIS;2;32.0
1232062;707547;556685521;13;3;CADDE;ORTA GELISMIS;2;13.0
1232063;707547;576957281;14;3;CADDE;ORTA GELISMIS;2;14.0
1232064;707547;687156891;8;3;CADDE;ORTA GELISMIS;2;8.0
1232065;707547;713623391;17;3;CADDE;ORTA GELISMIS;2;17.0
1232066;707547;742723111;YEŞİLPINAR;5;KÜME EVLER;ORTA GELISMIS;2;123456987.0
1232067;707547;796114551;34;4;SOKAK;ORTA GELISMIS;2;34.0
1232068;707547;804085521;18;3;CADDE;ORTA GELISMIS;2;18.0
1232069;707547;804973321;9;3;CADDE;ORTA GELISMIS;2;9.0
1232070;707547;822539151;19;3;CADDE;ORTA GELISMIS;2;19.0
1232071;707547;971904331;1;3;CADDE;ORTA GELISMIS;2;1.0
1232072;714261;370967;GÜN;4;SOKAK;ORTA GELISMIS;2;122.0
1232073;714261;391172;KUMBAĞ;3;CADDE;ORTA GELISMIS;2;4.0
1232074;714261;392153;STADYUM;4;SOKAK;ORTA GELISMIS;2;123.0
1232075;714261;392154;BATI PINAR;4;SOKAK;ORTA GELISMIS;2;125.0
1232076;714261;392155;VETERİNER;4;SOKAK;ORTA GELISMIS;2;124.0
1232077;714261;392156;ONURSAL;4;SOKAK;ORTA GELISMIS;2;141.0
1232078;714261;392157;GONCAGÜL;4;SOKAK;ORTA GELISMIS;2;144.0
1232079;714261;392158;DAMLA;4;SOKAK;ORTA GELISMIS;2;146.0
1232080;714261;392159;ŞEHİT ALPER TUNGA;4;SOKAK;ORTA GELISMIS;2;145.0
1232081;714261;392160;NİSAN;4;SOKAK;ORTA GELISMIS;2;151.0
1232082;714261;392161;ÖZLEM;4;SOKAK;ORTA GELISMIS;2;142.0
1232083;714261;392162;RECAİ AYDINLI;4;SOKAK;ORTA GELISMIS;2;143.0
1232084;714261;392163;GÖKEMRE;4;SOKAK;ORTA GELISMIS;2;149.0
1232085;714261;392164;AKBULUT;4;SOKAK;ORTA GELISMIS;2;152.0
1232086;714261;392165;ŞENKAL;4;SOKAK;ORTA GELISMIS;2;153.0
1232087;714261;392166;BARIŞ;4;SOKAK;ORTA GELISMIS;2;154.0
1232088;714261;392167;FUNDA;4;SOKAK;ORTA GELISMIS;2;150.0
1232089;714261;467474;BARBAROS;3;CADDE;ORTA GELISMIS;2;50.0
1232090;714261;1152051;HASAT;4;SOKAK;ORTA GELISMIS;2;91.01
1232091;714261;1297335;ALYAZMA;4;SOKAK;ORTA GELISMIS;2;191.0
1232092;714261;1297339;EKİM;4;SOKAK;ORTA GELISMIS;2;193.0
1232093;714261;1297347;DURGUN;4;SOKAK;ORTA GELISMIS;2;197.0
1232094;714261;1297349;DUMANLI;4;SOKAK;ORTA GELISMIS;2;198.0
1232095;714261;1297351;ULUSOY;4;SOKAK;ORTA GELISMIS;2;199.0
1232096;714261;1297353;DİLEK AĞACI;4;SOKAK;ORTA GELISMIS;2;200.0
1232097;714261;1297355;DİKEY;4;SOKAK;ORTA GELISMIS;2;201.0
1232098;714261;1297357;DEYİM;4;SOKAK;ORTA GELISMIS;2;202.0
1232099;714261;1297361;DESTE;4;SOKAK;ORTA GELISMIS;2;204.0
1232100;714261;1297363;DERİNCE;4;SOKAK;ORTA GELISMIS;2;205.0
1232101;714261;1297365;ÇİZGİ;4;SOKAK;ORTA GELISMIS;2;206.0
1232102;714261;1297373;GÜZ GÜLÜ;4;SOKAK;ORTA GELISMIS;2;210.0
1232103;714261;1297375;GİRDAP;4;SOKAK;ORTA GELISMIS;2;211.0
1232104;714261;1297379;SUBAY;4;SOKAK;ORTA GELISMIS;2;213.0
1232105;714261;1297383;SOFU;4;SOKAK;ORTA GELISMIS;2;215.0
1232106;714261;1297385;SULH;4;SOKAK;ORTA GELISMIS;2;216.0
1232107;714261;95815155;ESKİ MALKARA;3;CADDE;ORTA GELISMIS;2;6.0
1232108;714261;242859830;ATATÜRK;2;BULVAR;ORTA GELISMIS;2;3.01
1232109;714261;457399270;İSMET İNÖNÜ;2;BULVAR;ORTA GELISMIS;2;91.01
1232110;714261;733609190;KANUNİ SULTAN SÜLEYMAN;2;BULVAR;ORTA GELISMIS;2;118.01
1232111;719542;367697;AKSIĞIN MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1232112;719542;478527;PARSIK MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1232113;719542;707958;HARMANSIRT MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1232114;719542;712266;KARAPINAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;34.41
1232115;719799;755095;TERZİLER MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;2122.0
1232116;719880;368818;AKALIN;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1232117;719880;448006210;İNANLI;5;KÜME EVLER;ORTA GELISMIS;2;1.0
