id;mahalle_kod;kod;ad;sokak_turu;sokak_turu_aciklama;gelisim_durumu_aciklama;gelisim_durumu_kodu;sabit_tanitim_numarasi
1236005;884551;624508;KÖYÜN KENDISI;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1236006;884551;200976300;DIBECIK KAMPI;4;SOKAK;ORTA GELISMIS;2;1.0
1236007;884551;623650510;DILEKLI KAMPI 1160 SK;4;SOKAK;ORTA GELISMIS;2;60.01
1236008;884551;661049691;ATIK SU ARITMA TESİSİ;4;SOKAK;ORTA GELISMIS;2;3.0
1236009;884551;681461580;DILEKLI KAMPI 1163 SK;4;SOKAK;ORTA GELISMIS;2;2.0
1236010;892083;729276;ŞEVKETİYE MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1236011;892745;745144070;BALLITEPE;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1236012;896209;24400;KOCAKAYMAS BERIL;4;SOKAK;ORTA GELISMIS;2;0.0
1236013;896209;211393;KOCAKAYMAS BEREN;4;SOKAK;ORTA GELISMIS;2;0.0
1236014;896209;211397;TAMER;4;SOKAK;ORTA GELISMIS;2;0.0
1236015;896209;221591;UMUT;4;SOKAK;ORTA GELISMIS;2;670.01
1236016;896209;221595;KOCAKAYMAS PAPATYA;4;SOKAK;ORTA GELISMIS;2;0.0
1236017;896209;221596;KOCAKAYMAS LALE;4;SOKAK;ORTA GELISMIS;2;0.0
1236018;896209;228763;KOCAKAYMAS KARANFIL;4;SOKAK;ORTA GELISMIS;2;0.0
1236019;896209;420603;KOCAKAYMAS MENEKŞE;4;SOKAK;ORTA GELISMIS;2;0.0
1236020;896209;449090;KOCAKAYMAS MESUT;4;SOKAK;ORTA GELISMIS;2;0.0
1236021;896209;772223;İZMİT KANDIRA YOLU;3;CADDE;ORTA GELISMIS;2;45.55
1236022;896209;772224;KOCAKAYMAS GÜL;4;SOKAK;ORTA GELISMIS;2;0.0
1236023;896209;776955;ESKİ KANDIRA;3;CADDE;ORTA GELISMIS;2;6850.01
1236024;896209;776958;KOCAKAYMAS BESTE;4;SOKAK;ORTA GELISMIS;2;0.0
1236025;896209;25062423;YUNUS EMRE;3;CADDE;ORTA GELISMIS;2;0.0
1236026;896209;31286537;KOCAKAYMAS ATATÜRK;3;CADDE;ORTA GELISMIS;2;87.1
1236027;896209;41264318;HÜRRIYET.;3;CADDE;ORTA GELISMIS;2;15.78
1236028;896209;81733719;GAZİ;4;SOKAK;ORTA GELISMIS;2;0.0
1236029;896209;139802551;10.CADDE;3;CADDE;ORTA GELISMIS;2;1010.0
1236030;896209;157956101;7.CADDE;3;CADDE;ORTA GELISMIS;2;1007.0
1236031;896209;257265060;NURCAN;4;SOKAK;ORTA GELISMIS;2;0.0
1236032;896209;389379181;2.CADDE;3;CADDE;ORTA GELISMIS;2;1002.0
1236033;896209;405685291;BAĞLAR;4;SOKAK;ORTA GELISMIS;2;4.1
1236034;896209;442113081;9.CADDE;3;CADDE;ORTA GELISMIS;2;1009.0
1236035;896209;500047381;BELEN;4;SOKAK;ORTA GELISMIS;2;5.1
1236036;896209;534440971;8.CADDE;3;CADDE;ORTA GELISMIS;2;1008.0
1236037;896209;628841351;5.CADDE;3;CADDE;ORTA GELISMIS;2;1005.0
1236038;896209;686053101;3.CADDE;3;CADDE;ORTA GELISMIS;2;1003.0
1236039;896209;798498651;KUYULAR;4;SOKAK;ORTA GELISMIS;2;1.0
1236040;896209;847309101;1.CADDE;3;CADDE;ORTA GELISMIS;2;1001.0
1236041;896209;868549731;AKÇAKESE ÇEŞME;4;SOKAK;ORTA GELISMIS;2;1.1
1236042;896209;922412721;4.CADDE;3;CADDE;ORTA GELISMIS;2;1004.0
1236043;896209;967834101;6. CADDE;3;CADDE;ORTA GELISMIS;2;1006.0
