id;mahalle_kod;kod;ad;sokak_turu;sokak_turu_aciklama;gelisim_durumu_aciklama;gelisim_durumu_kodu;sabit_tanitim_numarasi
1224452;220988;504505;SOĞUKPINAR;5;KÜME EVLER;ORTA GELISMIS;2;1.0
1224453;221762;764214;FULACIK MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;4141.0
1224454;222406;139762;KARAAĞAÇOĞLU MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;14.15
1224455;222406;193355;SEPETÇİ MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1224456;222406;422159;SEPETÇİ SAKALLAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1224457;225367;182962;DEREKÖY MERKEZ MEVKII;5;KÜME EVLER;ORTA GELISMIS;2;14.2
1224458;225367;420947;EĞNEDİKLİ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1224459;226571;717894;CAMİDÜZÜ MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;145.41
1224460;231043;90467;DİRLİK;4;SOKAK;ORTA GELISMIS;2;33.0
1224461;231043;91665;BEŞİKÇİ;4;SOKAK;ORTA GELISMIS;2;36.0
1224462;231043;111159;ÜFTADE;4;SOKAK;ORTA GELISMIS;2;28.0
1224463;231043;131210;OTOGAR;3;CADDE;ORTA GELISMIS;2;30.0
1224464;231043;144999;ÜSTAD;4;SOKAK;ORTA GELISMIS;2;44.0
1224465;231043;352038;EFSANE;4;SOKAK;ORTA GELISMIS;2;39.0
1224466;231043;386446;EDALI;4;SOKAK;ORTA GELISMIS;2;35.0
1224467;231043;459712;EMSAL;4;SOKAK;ORTA GELISMIS;2;44.0
1224468;231043;605895;MEŞALE;4;SOKAK;ORTA GELISMIS;2;34.0
1224469;231043;615342;8.;3;CADDE;ORTA GELISMIS;2;80.0
1224470;231043;620277;EBRU;4;SOKAK;ORTA GELISMIS;2;34.0
1224471;231043;620735;SANCAK;4;SOKAK;ORTA GELISMIS;2;29.0
1224472;231043;621943;ALTIN;4;SOKAK;ORTA GELISMIS;2;41.0
1224473;231043;624974;EMEKTAR;4;SOKAK;ORTA GELISMIS;2;43.0
1224474;231043;625818;DOĞAN;4;SOKAK;ORTA GELISMIS;2;37.0
1224475;231043;625859;11.;3;CADDE;ORTA GELISMIS;2;83.0
1224476;231043;626502;1.;3;CADDE;ORTA GELISMIS;2;73.0
1224477;231043;626727;DİLEK;4;SOKAK;ORTA GELISMIS;2;38.0
1224478;231043;626846;ELMALI;4;SOKAK;ORTA GELISMIS;2;42.0
1224479;231043;626868;MISRA;4;SOKAK;ORTA GELISMIS;2;69.0
1224480;231043;626909;ERİŞİM;4;SOKAK;ORTA GELISMIS;2;68.0
1224481;231043;627227;14.;3;CADDE;ORTA GELISMIS;2;86.0
1224482;231043;627392;5.;3;CADDE;ORTA GELISMIS;2;77.0
1224483;231043;627412;9.;3;CADDE;ORTA GELISMIS;2;81.0
1224484;231043;627592;10.;3;CADDE;ORTA GELISMIS;2;82.0
1224485;231043;627842;DUYGULU;4;SOKAK;ORTA GELISMIS;2;32.0
1224486;231043;627854;7.;3;CADDE;ORTA GELISMIS;2;79.0
1224487;231043;628096;3.;3;CADDE;ORTA GELISMIS;2;75.0
1224488;231043;628684;SOĞUK SU SK;4;SOKAK;ORTA GELISMIS;2;72.0
1224489;231043;628738;VOLKAN;4;SOKAK;ORTA GELISMIS;2;46.0
1224490;231043;629228;SONGÜL;4;SOKAK;ORTA GELISMIS;2;71.0
1224491;231043;629248;ÖZLEM;4;SOKAK;ORTA GELISMIS;2;26.0
1224492;231043;629326;EFLATUN;4;SOKAK;ORTA GELISMIS;2;36.0
1224493;231043;629526;ESER;4;SOKAK;ORTA GELISMIS;2;47.0
1224494;231043;629560;SEÇKİN;4;SOKAK;ORTA GELISMIS;2;40.0
1224495;231043;629641;ERENLER;4;SOKAK;ORTA GELISMIS;2;45.0
1224496;231043;629696;EKİN;4;SOKAK;ORTA GELISMIS;2;41.0
1224497;231043;629958;4.;3;CADDE;ORTA GELISMIS;2;76.0
1224498;231043;630234;15.;3;CADDE;ORTA GELISMIS;2;87.0
1224499;231043;631119;6.;3;CADDE;ORTA GELISMIS;2;78.0
1224500;231043;631413;2.;3;CADDE;ORTA GELISMIS;2;74.0
1224501;231043;631898;12.;3;CADDE;ORTA GELISMIS;2;84.0
1224502;231043;632839;13.;3;CADDE;ORTA GELISMIS;2;85.0
1224503;231043;681664;ÖNDER;4;SOKAK;ORTA GELISMIS;2;27.0
1224504;231043;863266;BOZTEPE;4;SOKAK;ORTA GELISMIS;2;40.0
1224505;231043;870546;YEŞİLKENT;4;SOKAK;ORTA GELISMIS;2;89.0
1224506;231043;885730;TEPEBAŞI;4;SOKAK;ORTA GELISMIS;2;43.0
1224507;231043;886557;CİHAT;4;SOKAK;ORTA GELISMIS;2;70.0
1224508;231043;914862;TUĞBA;4;SOKAK;ORTA GELISMIS;2;46.0
1224509;231043;1003404;UZUNDEDE;4;SOKAK;ORTA GELISMIS;2;48.0
1224510;231043;1038280;19.;3;CADDE;ORTA GELISMIS;2;88.0
1224511;231043;1038971;16.;3;CADDE;ORTA GELISMIS;2;49.0
1224512;231043;1038973;17.;3;CADDE;ORTA GELISMIS;2;50.0
1224513;231043;1038975;18.;3;CADDE;ORTA GELISMIS;2;51.0
1224514;231043;1038977;20.;3;CADDE;ORTA GELISMIS;2;52.0
