id;mahalle_kod;kod;ad;sokak_turu;sokak_turu_aciklama;gelisim_durumu_aciklama;gelisim_durumu_kodu;sabit_tanitim_numarasi
1224715;245985;435767;ALEFLİ MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1224716;246256;38101;289;4;SOKAK;ORTA GELISMIS;2;64.0
1224717;246256;650290;288;4;SOKAK;ORTA GELISMIS;2;63.0
1224718;246256;909768;287;4;SOKAK;ORTA GELISMIS;2;62.0
1224719;246256;92649508;GÜNSAZAK;2;BULVAR;ORTA GELISMIS;2;0.0
1224720;246256;121633330;2579;4;SOKAK;ORTA GELISMIS;2;37.0
1224721;246256;147269700;2558;4;SOKAK;ORTA GELISMIS;2;9.0
1224722;246256;164979430;2575;4;SOKAK;ORTA GELISMIS;2;31.0
1224723;246256;183569640;DATLAR;4;SOKAK;ORTA GELISMIS;2;29.0
1224724;246256;216930801;2461;4;SOKAK;ORTA GELISMIS;2;115.0
1224725;246256;232161530;2552;4;SOKAK;ORTA GELISMIS;2;2.0
1224726;246256;241406750;2551;4;SOKAK;ORTA GELISMIS;2;1.0
1224727;246256;241734370;3356;4;SOKAK;ORTA GELISMIS;2;105.0
1224728;246256;247508530;2573;4;SOKAK;ORTA GELISMIS;2;28.0
1224729;246256;256252111;280;4;SOKAK;ORTA GELISMIS;2;52.0
1224730;246256;270592290;ŞEHİT ALİ UYGUR;3;CADDE;ORTA GELISMIS;2;1001.0
1224731;246256;284614240;2576;4;SOKAK;ORTA GELISMIS;2;33.0
1224732;246256;358432670;ATAKÖY;3;CADDE;ORTA GELISMIS;2;10.0
1224733;246256;358568140;2556;4;SOKAK;ORTA GELISMIS;2;7.0
1224734;246256;411989200;2569;4;SOKAK;ORTA GELISMIS;2;23.0
1224735;246256;415053140;2565;4;SOKAK;ORTA GELISMIS;2;19.0
1224736;246256;456612870;2574;4;SOKAK;ORTA GELISMIS;2;30.0
1224737;246256;506134470;SULTAN TÜRBESİ;4;SOKAK;ORTA GELISMIS;2;32.0
1224738;246256;520885980;ŞİRİNPINAR;4;SOKAK;ORTA GELISMIS;2;16.0
1224739;246256;526877380;3359;4;SOKAK;ORTA GELISMIS;2;108.0
1224740;246256;548863200;2578;4;SOKAK;ORTA GELISMIS;2;35.0
1224741;246256;550079340;UYUŞAK DEDE;4;SOKAK;ORTA GELISMIS;2;36.0
1224742;246256;552618120;449;4;SOKAK;ORTA GELISMIS;2;101.0
1224743;246256;563657860;3358;4;SOKAK;ORTA GELISMIS;2;107.0
