id;mahalle_kod;kod;ad;sokak_turu;sokak_turu_aciklama;gelisim_durumu_aciklama;gelisim_durumu_kodu;sabit_tanitim_numarasi
1234631;808725;151452;SERVETİYE CAMİ DERE MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234632;808725;239641;KİRAZPINAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234633;808725;239662;AYTEPE MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;110.1
1234634;808725;721277;AŞAĞI ALARTI MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;140.01
1234635;808725;721918;YUKARI ALARTI MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234636;808725;724741;KATAHPA MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;7260.61
1234637;808725;726357;SERVETİYE CAMİ MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234638;808725;728752;DEĞİRMEN DÜZÜ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234639;808964;874124090;EYERLİ;4;SOKAK;ORTA GELISMIS;2;1.0
1234640;809988;82644;3803.;4;SOKAK;ORTA GELISMIS;2;0.0
1234641;809988;82645;3815.;4;SOKAK;ORTA GELISMIS;2;0.0
1234642;809988;82646;YEDİYER;3;CADDE;ORTA GELISMIS;2;0.0
1234643;809988;82647;3851.;4;SOKAK;ORTA GELISMIS;2;0.0
1234644;809988;82648;3854.;4;SOKAK;ORTA GELISMIS;2;0.0
1234645;809988;82649;3850.;4;SOKAK;ORTA GELISMIS;2;0.0
1234646;809988;82653;3841;4;SOKAK;ORTA GELISMIS;2;0.0
1234647;809988;82655;3820.;4;SOKAK;ORTA GELISMIS;2;0.0
1234648;809988;82656;3843.;4;SOKAK;ORTA GELISMIS;2;0.0
1234649;809988;267499;3817.;4;SOKAK;ORTA GELISMIS;2;1.15
1234650;809988;267500;KADILLI ATATÜRK;3;CADDE;ORTA GELISMIS;2;0.0
1234651;809988;762950;3853.;4;SOKAK;ORTA GELISMIS;2;0.0
1234652;809988;764992;3804.;4;SOKAK;ORTA GELISMIS;2;0.0
1234653;809988;764993;3802.;4;SOKAK;ORTA GELISMIS;2;0.0
