id;mahalle_kod;kod;ad;sokak_turu;sokak_turu_aciklama;gelisim_durumu_aciklama;gelisim_durumu_kodu;sabit_tanitim_numarasi
1234835;820456;336256;ALACALAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234836;820456;748856;ÇAL MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234837;820456;748857;ÇANCILAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;14.12
1234838;820456;749065;KARAKADILAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234839;820456;749201;HATİBLER MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234840;820456;754024;ÇAVUŞLU YAĞCILAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234841;820456;754420;İSHAKÇILAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;441.45
1234842;820456;756706;SUCALAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234843;820456;756725;ÇAVUŞLU MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234844;820456;22066138;İSHAKÇILAR MUHARREMLİ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234845;820456;86799210;İSHAKÇILAR ALİKAHYALAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1234846;822346;41125;GÖCÜLER;5;KÜME EVLER;ORTA GELISMIS;2;160.1
1234847;822346;659539;HAYVAN PAZARI CİVARI;5;KÜME EVLER;ORTA GELISMIS;2;160.2
1234848;822346;1007389;TOKİ EVLERİ;3;CADDE;ORTA GELISMIS;2;1.01
1234849;822346;1275783;TOKİ EVLERİ 2;3;CADDE;ORTA GELISMIS;2;171.0
1234850;822346;1281985;TOKİ EVLERİ 3;4;SOKAK;ORTA GELISMIS;2;172.0
1234851;822346;18242412;GÜLLÜBAĞ;5;KÜME EVLER;ORTA GELISMIS;2;197.0
1234852;822346;36408276;TOKİ EVLERİ1;4;SOKAK;ORTA GELISMIS;2;187.0
1234853;822346;52997897;AŞIK VEYSEL1;4;SOKAK;ORTA GELISMIS;2;182.0
